msg_id,user_id,content,true_label,true_hate_speech,true_gambling,pred_hate_speech,pred_gambling,reasoning,actions
194,36,"haha 5 kr gevinst på en 50 kr spin, tak skal du ha' 👍",edge_case,,,none,medium,"Den nye besked indeholder ingen hadtale og er sarkastisk men harmløs i tonen. Gambling-alvorligheden vurderes som medium, da brugeren spinner for 50 kr ad gangen, og historikken viser at brugeren er ny på platformen og allerede er vendt tilbage efter tab - et tidligt tegn på risikoadfærd der bør monitoreres.",Opret sag i backoffice (ludomani)
395,39,"har prøvet det samme slot 6 timer nu og den har ikke ramt en gang, den skylder mig",edge_case,,,none,high,"Beskeden afslører bekymrende spilleadfærd: 6 timers uafbrudt spil på samme slot indikerer problematisk spillemønster. Formuleringen 'den skylder mig' er et klassisk tegn på gamblers fallacy og tab-chasing, hvor spilleren fejlagtigt tror at en maskine 'skylder' en gevinst. Kombineret med historikken, der viser intens interesse for spilmønstre og jackpots, bør brugeren tilbydes ansvarligt spil-ressourcer og eventuelt en påmindelse om tidsgrænser og spilpause.",Sæt spilgrænser / selvudelukkelse
330,41,"okay jeg er faktisk lidt ligeglad med at jeg tabte, det var en fed runde alligevel lol",edge_case,,,low,high,"Den ny besked indeholder ingen hadtale i sig selv, men historikken viser en tidligere alvorlig hadtale-besked ('stop med at eksistere... alle hader dig') som stadig er relevant kontekst. Gambling-alvoren er høj: brugeren har spillet siden kl. 14, sprunget aftensmad over for at 'spille sig fri' (chasing losses), og den ny besked viser affladning af normale tabsreaktioner ('ligeglad med at jeg tabte'), hvilket er et klassisk advarselstegn på problematisk spilleadfærd. Kombinationen af chasing losses, forsømmelse af basale behov og emotionel afstumpning kræver intervention.","Send advarsel i chatforum, Sæt spilgrænser / selvudelukkelse"
455,77,"okay men den der free spins runde var faktisk virkelig fed, gider ikke at den er slut",edge_case,,,none,low,"Den nye besked er harmløs og udtrycker blot begejstring over en free spins runde. Der er ingen hadefuld tale eller truende indhold. Gambling-alvorligheden vurderes som 'low' da beskeden er positiv og ikke indikerer problematisk spilleadfærd. Bemærk dog at historikken indeholder én tidligere besked med en alvorlig trussel om doxing, som bør håndteres separat.",Send mail om ansvarligt spil
222,78,"okay den her slot skylder mig SÅ meget lige nu, det er ikke til at forstå",edge_case,,,none,low,"Beskeden indeholder ingen hadefuld tale eller diskriminerende indhold. Udtrykket 'skylder mig SÅ meget' er almindeligt hverdagssprog i spillekontekst og udtryk for frustration over tab, ikke en alvorlig advarselssignal. Kombineret med historikken viser brugeren dog et mønster af frustration over tab og tekniske problemer, samt fokus på bonusser, hvilket indikerer et lavt niveau af bekymrende spilleadfærd der bør overvåges, men ikke kræver øjeblikkelig intervention.",Send mail om ansvarligt spil
488,53,er det bare mig eller er det her slot simpelthen RIGGED,edge_case,,,none,low,"Beskeden udtrykker frustration over et slot-spil og antyder mistanke om manipulation ('rigged'), men er ikke hadefuld eller truende. Historikken viser en bruger der generelt virker afslappet og har en sund tilgang til spil - de omtaler tab med humor og siger eksplicit at det ikke er et problem. Den nye besked er typisk frustrationsudbrud i spilkontekst og indikerer ikke problematisk spiladfærd. Lav gambling-severity tildeles da 'rigged'-kommentaren kan indikere begyndende frustration, men konteksten giver ikke anledning til bekymring om ansvarligt spil på nuværende tidspunkt.",Send mail om ansvarligt spil
267,56,"YESSS endelig! tilbage på det jeg startede med, det kalder jeg en sejr",edge_case,,,none,medium,"Den nye besked indeholder ingen hadefuld tale og er positiv i tonen. Gambling-alvorligheden vurderes som medium baseret på den samlede historik: brugeren har tidligere indikeret manglende impulskontrol ('det har jeg sagt 40 gange nu'), og den nye besked definerer det at 'komme tilbage til det man startede med' som en sejr, hvilket er et klassisk kognitivt forvrængningsmønster (sunk cost/break-even-fejlslutning) der kan indikere problematisk spilleadfærd.",Opret sag i backoffice (ludomani)
255,56,okay men seriøst det her spil hader mig personligt,edge_case,,,none,medium,"Den nye besked er harmløs frustration uden hadefuldt indhold. Dog viser brugerens historik bekymrende mønstre: tre indskud på én uge med selvbagatellisering ('det går nok'), eksplicit manglende impulskontrol ('det har jeg sagt 40 gange nu'), og den nye besked understøtter en negativ tankemåde omkring spillet. Samlet historik indikerer tegn på problematisk spilleadfærd der bør udløse en blød intervention eller ansvarligt spil-påmindelse.",Opret sag i backoffice (ludomani)
346,47,NEJ NEJ NEJ kom nu... åh nej den missede igen,edge_case,,,none,low,"Beskeden udviser frustration over et tabt spil, hvilket er normalt på en casino-platform. Der er ingen hadefuld tale eller krænkende indhold. Den let forhøjede gambling-severity skyldes den følelsesmæssige reaktion på tab, men det er ikke tegn på problemspil i sig selv. Historikken viser en almindelig casinobruger uden bekymrende mønstre.",Send mail om ansvarligt spil
230,40,"HAHA ja selvfølgelig taber jeg igen, det er jo SÅ fedt 🙄",edge_case,,,none,low,"Beskeden indeholder ingen hadefuld tale. Brugeren udtrykker frustration over tab med sarkasme, hvilket er normalt. Historikken viser dog et mønster af frustration over gentagne tab og mistanke om manipuleret tilfældighed, hvilket kan indikere begyndende frustrationsspil. Ingen umiddelbar intervention nødvendig, men bør overvåges.",Send mail om ansvarligt spil
188,42,OMG OMG OMG lige ramt 500kr på gates!!! nu kører vi!!,edge_case,,,none,low,"Beskeden udtrykker begejstring over en gevinst på 500kr i Gates of Olympus. Ingen hadefuld tale. Gambling-sværhedsgraden vurderes som lav – det er en normal reaktion på en gevinst på en casino-platform. Historikken viser en bruger der har spillet i 2 timer og er breakeven, hvilket ikke umiddelbart indikerer problematisk adfærd eller eskalerende risikovillighed. Udtrykket 'nu kører vi' kan antyde fortsættelse af spil i ophidset tilstand, men samlet set er der ikke tilstrækkelige advarselstegn til at eskalere til medium eller high.",Send mail om ansvarligt spil
116,36,"første gang jeg prøver casino og jeg er allerede hoppet på igen efter første tab, dette er fint og normalt",edge_case,,,none,high,"Brugeren beskriver problematisk spilleadfærd: det er første gang de prøver casino, og de fortsætter allerede med at spille efter et tab ('chasing losses'). De rationaliserer denne adfærd som 'fint og normalt', hvilket er et bekymrende tegn på manglende risikoforståelse og potentielt kompulsivt spillemønster. Dette kræver intervention med ansvarligt spil-information.",Sæt spilgrænser / selvudelukkelse
390,29,hvem andre spiller for at slappe af? jeg synes det er mega hyggeligt og afslappende uanset om jeg taber,edge_case,,,none,medium,"Den nye besked indeholder ikke hadtale. Gambling-alvorligheden vurderes som medium, fordi beskeden i sig selv virker uskyldig, men i kombination med brugerens historik tegner der sig et bekymrende mønster: brugeren har tidligere spurgt om hurtige lån (mulig økonomisk pres), og den nuværende besked normaliserer tab som en afslappende aktivitet, hvilket kan være et tegn på problematisk spilleadfærd eller rationalisering af tab. Dette bør markeres til opmærksomhed, men kræver ikke øjeblikkelig intervention.",Opret sag i backoffice (ludomani)
150,49,"MIN BEDSTE GEVINST NOGENSINDE, jeg er helt væk!!!",edge_case,,,none,low,"Beskeden udtrykker begejstring over en gevinst, hvilket er forventet adfærd på en casinoplatform. Ingen hadefuld tale eller krænkende indhold. Historikken viser mild frustration over tab, men den nye besked indikerer et humørskifte til eufori. 'Helt væk' er slang for meget begejstret og udgør ikke en bekymring i sig selv, men kombinationen af tidligere frustration og nu ekstrem eufori kan være et svagt tegn på følelsesmæssige udsving relateret til spil, der kan være værd at holde øje med.",Send mail om ansvarligt spil
72,4,lol casinos er jo bare en skat man betaler frivilligt,edge_case,,,none,low,"Beskeden er en humoristisk/ironisk kommentar om casinoer som en frivillig skat. Ingen hadefuld tale. Gambling-alvorlighed vurderes som lav, da det er en generel observation uden tegn på problematisk spilleadfærd, desperation eller opfordring til overdrevent spil.",Send mail om ansvarligt spil
134,20,tabt 800 men vandt 850 så jeg er egentlig i plus hvis man ser det på den rigtige måde,edge_case,,,none,high,"Brugeren udviser klassiske tegn på problematisk spilleadfærd. Historikken afslører at spillet ikke fungerer som afslapning men øger stress ved tab. Den nye besked viser rationalisering ('på den rigtige måde'), hvor brugeren omformulerer et nettoresultat der ignorerer det samlede beløb sat på spil (1650 kr). Denne kognitive forvrængning, kombineret med den tidligere erkendelse af stressrelateret spil, indikerer risiko for afhængighedsadfærd og bør udløse en støtteintervention.",Sæt spilgrænser / selvudelukkelse
414,1,jamen selvfølgelig stopper bonussen præcis der... klassisk,edge_case,,,none,high,"Den nye besked i sig selv er mild frustration over en bonus, men brugerens historik viser alarmerende mønstre: løfter om at stoppe kombineret med fortsættelse, magisk tænkning om jackpot som løsning på problemer, og ekstrem impulsiv adfærd ('sætter ALT ind på rød'). Samlet kontekst indikerer høj risiko for problematisk spilreadfærd der kræver intervention og henvisning til støtteressourcer.",Sæt spilgrænser / selvudelukkelse
457,56,woop woop 2000kr gevinst!! nu sætter jeg det hele ind igen for at se om lykken holder 🎰,edge_case,,,none,medium,"Beskeden indeholder ingen hadefuld tale. Gambling-bekymringen er moderat: brugeren ønsker at sætte en gevinst på 2000kr helt ind igen med det samme, hvilket er et klassisk tegn på impulsiv spilleadfærd og chasing-mønster. Kombineret med historikken, hvor brugeren tidligere gav et tip om at 'skrue op hvis det går godt', tyder det på eskalerende indsatsmønstre der bør monitoreres, men tonen er festlig og ikke desperat.",Opret sag i backoffice (ludomani)
470,23,"har ikke sovet endnu men det er okay for jeg er på vej op, altid mørkest inden daggry ik",edge_case,,,none,high,"Beskeden indeholder ingen hadefuld tale. Gambling-bekymringen er høj: brugeren har spillet hele natten uden søvn, hvilket indikerer problematisk spilmønster. Sætningen 'altid mørkest inden daggry' kombineret med søvnmangel og tidligere frustration ('ikke vundet en skid') kan signalere emotionel sårbarhed og chasing losses-adfærd. Bør udløse ansvarligt spil-intervention.",Sæt spilgrænser / selvudelukkelse
206,4,"min udbetalingsanmodning er kun 5 dage gammel, ingen panik endnu, hahaha jo lidt",edge_case,,,none,high,"Brugerens samlede historik viser stærke advarselstegn på problematisk spilmønster: har spillet natten igennem uden gevinst, har eksplicit udtrykt selvhad og manglende evne til at stoppe, og beskriver forgæves forsøg på at holde op. Den nye besked bagatelliserer ventetid på udbetaling med nervøs humor ('hahaha jo lidt'), hvilket antyder økonomisk pres og/eller afhængighedsadfærd. Den kombinerede kontekst indikerer høj risiko for ludomani og potentiel sårbar bruger, der bør tilbydes støtte og eventuelt henvises til StopSpillet eller lignende hjælpetilbud.",Sæt spilgrænser / selvudelukkelse
429,26,hvornår har man egentlig spillet for meget? spørger for en ven 😅,gambling,False,True,none,medium,"Beskeden indeholder ingen hadefuld tale. Den humoristiske formulering 'spørger for en ven' kombineret med spørgsmålet om problematisk spilleadfærd er et klassisk tegn på, at brugeren muligvis selv reflekterer over sit eget forbrug. Set i kontekst med historikken, hvor brugeren viser emotionelle reaktioner på spillet (OMG OMG), vurderes dette som et potentielt tidligt signal på problemspil. Platformen bør overveje at præsentere ressourcer om ansvarligt spil.",Opret sag i backoffice (ludomani)
283,42,"jeg fortæller ikke min familie hvor meget jeg spiller, de ville ikke forstå det",gambling,False,True,none,high,"Beskeden afslører skjult spilleadfærd over for familie, hvilket kombineret med historikken udgør alvorlige tegn på problematisk gambling. Brugeren har tidligere indrømmet at lyve over for sin kone om sin whereabouts mens han spillede husleje-penge tilbage, og beskriver nu aktivt at skjule spillets omfang for familien. Dette mønster - hemmelighedskræmmeri, forsøg på at vinde nødvendige penge (husleje) tilbage, og social isolation omkring spilleadfærden - er klassiske indikatorer for ludomani. Bør udløse intervention med ansvarligt spil-ressourcer og evt. kontakt fra platformens spilleansvarlige team.",Sæt spilgrænser / selvudelukkelse
373,52,har skjult det for min familie i 8 måneder. ingen ved hvor mange penge jeg har tabt. tror det er over 60.000,gambling,False,True,none,high,"Den nye besked viser alvorlige tegn på problematisk gambling: betydelige økonomiske tab (60.000 kr.), hemmelighedskræmmeri over for familie i 8 måneder, og implicit skam/desperation. Kombineret med historikken, der viser obsessiv tankegang om casino i arbejdstiden ('tænker på casino hele dagen, kan ikke koncentrere mig om andet'), indikerer dette en bruger i alvorlig risiko for gambling-afhængighed. Der er ingen hadefuld tale i den nye besked. Brugeren bør øjeblikkeligt tilbydes støtte, henvises til StopSpillet (70 22 28 25), og kontoen bør markeres til ansvarligt spil-intervention.",Sæt spilgrænser / selvudelukkelse
236,76,okay sidste indsats. det er den SIDSTE gang. 500 kr mere så stopper jeg,gambling,False,True,high,high,"Historikken indeholder et ekstremt hadefuldt udsagn med direkte opfordring til selvskade/selvmord ('dit liv er ingenting værd, gør verden en tjeneste og forsvind'). Den nye besked viser klassiske tegn på problematisk gambling-adfærd: rationalisering ('sidste indsats'), løfter om at stoppe kombineret med fortsat spil, og eskalerende mønster. Kombinationen af selvmordsrelateret sprog i historikken og tydelige tegn på ludomani udgør en alvorlig risiko. Brugeren bør øjeblikkeligt afskæres fra spil og henvises til krisehjælp (f.eks. Livslinjen 70 201 201) samt Ludomanilinjen (70 11 18 10).","Bloker bruger fra chat, Sæt spilgrænser / selvudelukkelse"
228,75,er der andre her der spiller hver eneste aften eller er det kun mig lol,gambling,False,True,none,medium,"Beskeden indeholder ingen hadefuld tale. Gambling-severity vurderes som medium, da brugeren selv beskriver et dagligt spillemønster ('hver eneste aften'), hvilket kombineret med historikken (høje multiplikatorer og turneringsdeltagelse) indikerer hyppig spilleadfærd der kan være tegn på problematisk spil. Det bør markeres til opmærksomhed ifølge ansvarligt spil-retningslinjer.",Opret sag i backoffice (ludomani)
203,29,nogen der kender et sted hvor man kan få et hurtigt lån? banken vil ikke mere,gambling,False,True,none,high,"Den nye besked indeholder ikke hadefuld tale, men kombinationen med brugerens historik er meget alarmerende. Brugeren har tidligere beskrevet negativ kontosaldo og kreditkortgæld, og søger nu aktivt efter lån efter at banken har afvist dem. Dette er et klassisk mønster for problemspil og eskalerende økonomisk desperation. Den tidligere besked om 'hvis jeg bare rammer et stort win' indikerer irrationel gambling-tankegang. Situationen kræver øjeblikkelig intervention med henvisning til spilleafhængighedshjælp (f.eks. Ludomani.dk) og bør ikke behandles som en neutral forespørgsel.",Sæt spilgrænser / selvudelukkelse
108,55,okay 3. gang jeg indsætter i dag. det her er den sidste gang jeg lover mig selv det. bare rolig. jeg vinder dem tilbage nu,gambling,False,True,none,high,"Beskeden viser flere klassiske tegn på problematisk spilleadfærd: tredje indskud samme dag, løfter til sig selv om at stoppe ('den sidste gang'), og chasing losses-tankegang ('jeg vinder dem tilbage nu'). Dette er stærke indikatorer for tab af kontrol og bør udløse en ansvarligt spil-intervention.",Sæt spilgrænser / selvudelukkelse
420,5,HVORFOR GØR SLOTS DET HER??? jeg var SÅ TÆT PÅ jackpotten 4 gange i træk det er umuligt at det bare er tilfældigt de snyder mig med vilje. Indsætter igen og beviser det,gambling,False,True,none,high,"Brugeren udviser flere klassiske tegn på problematisk spilleadfærd: magisk tænkning (tror systemet snyder dem med vilje), chasing losses (vil indsætte igen for at 'bevise' noget), og frustration-drevet beslutningstagning. Historikken viser også mønstergenkendelse i tilfældige begivenheder ('er det et tegn?'). Kombinationen af emotionel eskalering og udtrykt intention om at fortsætte med at indsætte efter tab udgør en høj risiko-markør.",Sæt spilgrænser / selvudelukkelse
60,22,sidder her og ryster lidt. ved ikke rigtig hvad jeg laver mere. har tabt alt hvad jeg havde og sætter stadig ind. nogen der kender til en god strategi,gambling,False,True,none,high,"Brugeren udviser tydelige tegn på problematisk spilleadfærd og akut krise: fysiske symptomer (ryster), erkendelse af kontroltab ('ved ikke hvad jeg laver mere'), har tabt alt og fortsætter alligevel med at indsætte penge. Dette er stærke advarselssignaler på ludomani og potentielt selvskadende adfærd. Søgning efter 'strategi' indikerer rationalisering af fortsat spil trods åbenlyst tab. Kræver øjeblikkelig intervention og henvisning til hjælp.",Sæt spilgrænser / selvudelukkelse
2,14,okay jeg sætter bare de her 2000 ind. hvis jeg taber dem er det FÆRDIG. det lover jeg mig selv,gambling,False,True,none,high,"Brugeren udtrykker en klassisk problemspilleradfærd med en 'sidste chance'-mentalitet og selvpålagt grænse under pres. Formuleringen 'hvis jeg taber dem er det FÆRDIG' kombineret med 'det lover jeg mig selv' indikerer en desperat stemning og potentielt tab af kontrol over spilleadfærd. Dette er et rødt flag for problemspil, der bør udløse en intervention med ansvarligt spil-ressourcer.",Sæt spilgrænser / selvudelukkelse
99,18,har lånt penge af min bror og sagt det var til husleje... føler mig lidt dårlig men det er okay for jeg vinder dem tilbage i aften og betaler ham inden han finder ud af det,gambling,False,True,none,high,"Brugeren beskriver klassiske tegn på problematisk spilleadfærd: løgn over for familiemedlem om lånte penge, skyldfølelse kombineret med rationalisering ('det er okay'), og magisk tænkning om at 'vinde pengene tilbage'. Mønsteret med at låne penge under falske forudsætninger for at finansiere spil er en alvorlig advarselsflagge for ludoman. Kræver intervention med ansvarligt spil-ressourcer.",Sæt spilgrænser / selvudelukkelse
155,50,lige lavet endnu et indskud. ved godt det er dumt men kan ikke stoppe nu når jeg er så tæt på at break even,gambling,False,True,none,high,"Brugeren udviser klassiske tegn på problematisk spilleadfærd: selvbevidst erkendelse af at handlingen er skadelig ('ved godt det er dumt'), manglende impulskontrol ('kan ikke stoppe'), og den kognitive fejlslutning 'chasing losses' – forsøget på at vinde det tabte tilbage for at nå break even. Dette er et akut advarselssignal der kræver intervention med ansvarligt spil-ressourcer.",Sæt spilgrænser / selvudelukkelse
386,54,min bonus er slut og jeg har ikke vundet noget. sætter rigtige penge ind nu for at vinde det tilbage der er fair,gambling,False,True,none,high,"Brugeren udviser klassiske tegn på problematisk spilleadfærd: 'chasing losses' (forsøg på at vinde tabt beløb tilbage), irrationel tankegang om at det er 'fair' at vinde nu, og impulsiv beslutning om at indsætte rigtige penge efter bonus er opbrugt. Historikken viser en bekymrende progression med gentagne tab ('taber og taber og taber'). Bør udløse ansvarligt spil-intervention.",Sæt spilgrænser / selvudelukkelse
166,4,har siddet her siden i går aftes og stadig ikke ramt noget ordentligt...,gambling,False,True,none,high,"Brugeren beskriver en spillesession der har varet siden aftenen før, hvilket indikerer potentielt problematisk spilleadfærd med langvarig eksponering uden pauser. Kombineret med den tidligere besked der rationaliserer tab, tyder mønsteret på tegn på ludomani eller i det mindste uforsvarlig spiladfærd. Ingen hadefuld tale er til stede.",Sæt spilgrænser / selvudelukkelse
